GRUPOSERVICO_CODIGO;GRUPOSERVICO_DESCRICAO;SERVICO_CODIGO;SERVICO_DESCRICAO;LOGRADOURO;NUMERO;BAIRRO;RPA;DATA_DEMANDA;SITUACAO;DATA_ULT_SITUACAO
7;ARBORIZAÇÃO;8;PODA DE ARVORES;AV  DEZESSETE DE AGOSTO;833;CASA FORTE;3;2019-05-29;EXECUÇÃO;2019-05-29
7;ARBORIZAÇÃO;8;PODA DE ARVORES;AV  IZABEL DE GOES;585;AREIAS;5;2019-05-29;EXECUÇÃO;2019-05-29
7;ARBORIZAÇÃO;8;PODA DE ARVORES;AV  RECIFE;3587;CACOTE;5;2019-05-29;ATENDIDA;2019-05-29
7;ARBORIZAÇÃO;8;PODA DE ARVORES;AV  RUI BARBOSA;760;GRACAS;3;2019-05-29;PENDENTE;2019-05-29
7;ARBORIZAÇÃO;8;PODA DE ARVORES;RUA  ALFREDO DE MEDEIROS;144;ESPINHEIRO;3;2019-05-29;PENDENTE;2019-05-29
7;ARBORIZAÇÃO;8;PODA DE ARVORES;RUA  BONIFACIO DE ANDRADE;00;SAN MARTIN;5;2019-05-29;EXECUÇÃO;2019-05-29
7;ARBORIZAÇÃO;8;PODA DE ARVORES;RUA  BUENOPOLIS;69;AFOGADOS;5;2019-05-29;EXECUÇÃO;2019-05-29
7;ARBORIZAÇÃO;8;PODA DE ARVORES;RUA  EDSON ALVARES;93;CASA FORTE;3;2019-05-29;EXECUÇÃO;2019-05-29
7;ARBORIZAÇÃO;8;PODA DE ARVORES;RUA  JULIAO NETO;534;ENCRUZILHADA;2;2019-05-29;EXECUÇÃO;2019-05-29
7;ARBORIZAÇÃO;8;PODA DE ARVORES;RUA  MANUEL SALVADOR;346;BARRO;5;2019-05-29;EXECUÇÃO;2019-05-29
7;ARBORIZAÇÃO;8;PODA DE ARVORES;RUA  SINDICATO DOS BANCARIOS;60;CACOTE;5;2019-05-29;ATENDIDA;2019-05-29
7;ARBORIZAÇÃO;8;PODA DE ARVORES;RUA  TITO LIVIO SOARES;S/N;POCO;3;2019-05-29;EXECUÇÃO;2019-05-29
7;ARBORIZAÇÃO;8;PODA DE ARVORES;RUA ASTRONAUTA NEIL ARMSTRONG;42;CASA AMARELA;3;2019-05-29;EXECUÇÃO;2019-05-29
7;ARBORIZAÇÃO;8;PODA DE ARVORES;RUA CONS PERETTI;363;CASA AMARELA;3;2019-05-29;EXECUÇÃO;2019-05-29
7;ARBORIZAÇÃO;8;PODA DE ARVORES;RUA DES DIRCEU BORGES;89;AFOGADOS;5;2019-05-29;EXECUÇÃO;2019-05-29
7;ARBORIZAÇÃO;8;PODA DE ARVORES;RUA VEREADOR FRANCISCO DE PAULA SANTANA;00;AFOGADOS;5;2019-05-29;EXECUÇÃO;2019-05-29
7;ARBORIZAÇÃO;16;VISTORIA DE ARVORES;AV  RUI BARBOSA;2038;JAQUEIRA;3;2019-05-29;CADASTRADA;2019-05-29
7;ARBORIZAÇÃO;16;VISTORIA DE ARVORES;AV CONSUL VILARES FRAGOSO;111;BONGI;5;2019-05-29;PREPARAÇÃO;2019-05-29
